mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median (12)
0,0,0,0,0,0,2,0,0,0,1
39,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,2,1
15,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
7,0,0,0,0,0,0,0,0,3,0
74,0,0,0,0,1,0,0,0,0,1
31,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,1,0
122,0,0,0,0,0,0,0,0,2,0
5,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
75,5,0,0,0,0,1,0,0,0,1
13,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0,0,1
34,0,0,0,0,0,0,0,0,2,0
37,0,0,0,0,0,0,0,0,2,0
0,0,0,2,4,0,0,0,0,0,1
0,0,0,0,3,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,12,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
24,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,1,1
6,1,0,0,0,0,0,0,0,1,0
103,1,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,2,1
0,0,0,6,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,2,1
19,0,0,0,0,3,0,0,0,1,1
31,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
48,0,0,0,0,0,0,0,0,1,0
21,1,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,1,1
80,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,2,0,0,0,1
21,0,0,0,0,0,0,0,0,1,0
15,0,0,0,1,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
115,0,0,0,0,0,0,0,0,3,0
2,0,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,1,0,0,0,1
124,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
43,0,0,0,0,0,0,0,0,1,0
44,0,0,0,0,0,0,0,0,1,0
82,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
9,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
31,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,0
129,1,0,0,0,0,0,0,0,1,0
73,0,0,0,0,1,0,0,0,0,1
2,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,2,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,6,1
14,0,0,0,0,1,0,0,0,0,1
49,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0
67,0,0,0,0,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,1,1
16,0,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
21,0,0,0,0,2,0,0,0,0,1
11,0,0,0,0,0,0,0,0,2,1
27,0,0,0,0,0,1,0,0,0,1
9,0,0,0,0,30,0,0,0,0,1
5,0,0,0,0,0,0,0,0,2,0
38,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,2,0
5,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0,0,1
55,0,0,0,0,0,0,0,0,2,1
53,0,0,0,0,0,0,0,0,1,0
20,2,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
36,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
77,0,0,0,0,1,0,0,0,0,1
94,0,0,0,0,0,0,0,0,1,0
262,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,3,0
2,0,0,0,0,0,0,0,0,1,1
0,0,0,20,1,0,1,0,0,0,1
12,0,0,0,0,0,1,0,0,0,1
7,0,0,1,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,2,0
65,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,3,0
