mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median(15)
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
16,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,7,0
31,1,0,0,0,1,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,1
2,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,2,0
63,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0,1
139,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,1,0
21,0,0,0,0,0,0,0,0,1,1
14,2,0,0,0,0,0,0,0,1,0
319,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1,1
33,0,0,0,0,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,2,0
34,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1,0
114,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,1,0,0,0,0,1
47,0,0,0,0,1,0,0,0,0,1
18,0,0,0,0,0,1,0,0,0,1
20,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,2,0
33,0,0,0,0,0,0,0,0,2,1
23,0,0,0,0,0,0,0,0,1,1
78,1,0,0,0,6,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,2,0
15,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,2,1
0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,2,1
5,0,0,0,0,0,0,0,0,1,1
4,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0
10,1,0,0,0,0,0,0,0,2,0
5,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,1,1
7,0,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
2,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,1,0,0,0,0,1
5,0,0,1,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,2,0
26,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1
14,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,1
4,0,0,0,0,0,0,0,0,1,1
26,0,0,0,0,0,0,0,0,2,0
32,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0
54,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
23,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1
27,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
10,0,0,1,2,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,2,0
23,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,4,0,0,0,1
35,0,0,0,0,0,0,0,0,1,1
44,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
72,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,1,0
20,9,2,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,1
33,0,0,0,0,0,0,0,0,1,0
10,0,0,0,1,0,0,0,0,0,1
65,0,0,0,0,0,0,0,0,1,0
27,3,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,5,0
8,0,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,1,1
15,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,1,0
13,0,0,0,5,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,1
19,1,0,0,0,0,0,0,0,3,0
16,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,1,0,0,0,1
9,0,0,0,0,0,0,0,0,2,0
27,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
9,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,1
26,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,1
39,0,0,0,0,0,0,0,0,3,0
47,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1
61,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,2,0,0,0,1
13,1,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,3,1
33,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,2,1
30,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,1
75,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
48,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
3,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0,1,0
20,0,0,1,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,3,0
199,1,0,0,0,1,0,0,0,0,1
101,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,2,0
29,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,2,1
1,0,0,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,0,0,8,1
0,0,0,0,0,0,0,0,0,7,1
15,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,5,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,3,1
28,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,2,0,0,1
4,0,0,0,0,0,0,0,0,1,0
86,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1
117,0,0,0,0,0,0,0,0,1,1
13,0,0,0,0,0,0,0,0,1,0
0,0,0,0,2,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
111,1,0,0,0,0,0,0,0,1,0
66,0,0,0,1,0,0,0,0,8,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,1
31,0,0,1,0,0,0,0,0,2,1
4,0,0,0,0,0,0,0,0,1,0
72,0,0,0,0,2,0,0,0,0,1
31,2,0,0,0,0,0,0,0,1,0
70,1,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
21,0,1,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
22,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,2,1
20,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,6,1
34,1,0,0,0,0,0,0,0,5,1
229,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,3,0
8,0,0,0,0,0,0,0,0,1,1
31,0,0,0,0,0,0,0,0,1,0
381,0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
205,0,0,0,0,0,0,0,0,1,1
21,0,0,0,0,0,0,0,0,1,1
23,0,0,0,0,0,0,0,0,1,0
54,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,2,0
28,0,0,0,0,0,0,0,0,1,1
17,0,0,0,0,1,0,0,0,3,1
0,0,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,0,0,0,1,0
65,3,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,1,1
21,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,1
5,0,0,0,0,0,0,0,0,2,0
2,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,1,0,0,0,0,1
4,1,0,0,0,0,0,0,0,2,0
3,1,1,0,0,1,0,0,0,0,1
31,0,0,0,0,0,0,0,0,3,1
11,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,0
26,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,1
8,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,0,1,0,0,0,1
0,0,0,3,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,0,0,0,2,0
22,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
85,1,0,0,0,3,0,0,0,0,1
0,0,0,0,0,0,0,0,0,3,1
17,0,0,0,0,0,0,0,0,1,0
9,0,1,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,2,1
45,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,1
39,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
109,1,0,0,1,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,1
64,1,0,0,0,0,0,0,0,5,0
8,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0
31,0,0,0,0,0,0,0,0,2,0
4,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,1,0
67,2,0,0,0,1,0,0,0,1,1
19,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,2,0,0,0,0,1
13,0,0,0,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,1,0
275,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,2,2,0,0,1
0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,5,1
53,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0
45,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
14,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,4,0
54,0,0,0,0,0,0,0,0,3,1
36,0,0,0,0,0,0,0,0,1,0
81,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0,0,0,1
6,0,0,0,0,0,0,0,0,2,0
140,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
11,0,0,0,0,0,0,0,0,1,0
0,0,0,0,3,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1
32,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
